customer_external_id,customer_first_name,customer_last_name,customer_email,customer_phone,customer_dob,customer_country,customer_is_active,order_external_id,order_date,order_status,order_shipping_address,order_country,order_is_priority,product_sku,product_name,product_price,order_item_quantity,audit_action,audit_notes
CUST-000932,First932,Last932,user932@example.com,+64280592274,1968-09-28,NZ,1,ORD-00000785,2023-01-09,SHIPPED,"#170 Queen St, Auckland",NZ,0,SKU-17145,Product-17145,351.88,3,ORDER_IMPORTED,Bulk CSV import
CUST-000932,First932,Last932,user932@example.com,+64280592274,1968-09-28,NZ,1,ORD-00000785,2023-01-09,SHIPPED,"#170 Queen St, Auckland",NZ,0,SKU-36896,Product-36896,231.39,4,ORDER_IMPORTED,Bulk CSV import
CUST-000932,First932,Last932,user932@example.com,+64280592274,1968-09-28,NZ,1,ORD-00000786,2023-03-01,PAID,"#146 Queen St, Auckland",NZ,0,SKU-29343,Product-29343,469.69,4,ORDER_IMPORTED,Bulk CSV import
CUST-000867,First867,Last867,user867@example.com,+64258449976,1983-08-25,NZ,1,ORD-00000787,2023-01-29,CREATED,"#107 Queen St, Auckland",NZ,0,SKU-36270,Product-36270,177.79,3,ORDER_IMPORTED,Bulk CSV import
CUST-000867,First867,Last867,user867@example.com,+64258449976,1983-08-25,NZ,1,ORD-00000787,2023-01-29,CREATED,"#107 Queen St, Auckland",NZ,0,SKU-27078,Product-27078,240.58,4,ORDER_IMPORTED,Bulk CSV import
CUST-000867,First867,Last867,user867@example.com,+64258449976,1983-08-25,NZ,1,ORD-00000787,2023-01-29,CREATED,"#107 Queen St, Auckland",NZ,0,SKU-16536,Product-16536,122.12,2,ORDER_IMPORTED,Bulk CSV import
CUST-000867,First867,Last867,user867@example.com,+64258449976,1983-08-25,NZ,1,ORD-00000787,2023-01-29,CREATED,"#107 Queen St, Auckland",NZ,0,SKU-45169,Product-45169,242.04,2,ORDER_IMPORTED,Bulk CSV import
CUST-000949,First949,Last949,user949@example.com,+64285580935,2000-01-20,NZ,1,ORD-00000788,2023-10-23,CREATED,"#188 Queen St, Auckland",NZ,0,SKU-07653,Product-7653,206.04,4,ORDER_IMPORTED,Bulk CSV import
CUST-000949,First949,Last949,user949@example.com,+64285580935,2000-01-20,NZ,1,ORD-00000788,2023-10-23,CREATED,"#188 Queen St, Auckland",NZ,0,SKU-05543,Product-5543,171.59,3,ORDER_IMPORTED,Bulk CSV import
CUST-000949,First949,Last949,user949@example.com,+64285580935,2000-01-20,NZ,1,ORD-00000788,2023-10-23,CREATED,"#188 Queen St, Auckland",NZ,0,SKU-41511,Product-41511,244.93,1,ORDER_IMPORTED,Bulk CSV import
CUST-000949,First949,Last949,user949@example.com,+64285580935,2000-01-20,NZ,1,ORD-00000788,2023-10-23,CREATED,"#188 Queen St, Auckland",NZ,0,SKU-06515,Product-6515,500.83,3,ORDER_IMPORTED,Bulk CSV import
CUST-000629,First629,Last629,user629@example.com,+64271844261,2002-07-24,NZ,1,ORD-00000789,2025-01-28,PAID,"#70 Queen St, Auckland",NZ,0,SKU-49081,Product-49081,506.96,3,ORDER_IMPORTED,Bulk CSV import
CUST-000371,First371,Last371,user371@example.com,+64298052411,1976-11-01,NZ,1,ORD-00000790,2023-03-24,SHIPPED,"#50 Queen St, Auckland",NZ,0,SKU-08172,Product-8172,497.05,1,ORDER_IMPORTED,Bulk CSV import
CUST-000371,First371,Last371,user371@example.com,+64298052411,1976-11-01,NZ,1,ORD-00000790,2023-03-24,SHIPPED,"#50 Queen St, Auckland",NZ,0,SKU-45380,Product-45380,474.17,3,ORDER_IMPORTED,Bulk CSV import
CUST-000371,First371,Last371,user371@example.com,+64298052411,1976-11-01,NZ,1,ORD-00000790,2023-03-24,SHIPPED,"#50 Queen St, Auckland",NZ,0,SKU-11352,Product-11352,445.93,1,ORDER_IMPORTED,Bulk CSV import
CUST-000371,First371,Last371,user371@example.com,+64298052411,1976-11-01,NZ,1,ORD-00000790,2023-03-24,SHIPPED,"#50 Queen St, Auckland",NZ,0,SKU-18120,Product-18120,442.12,3,ORDER_IMPORTED,Bulk CSV import
CUST-000855,First855,Last855,user855@example.com,+64292627396,1976-05-21,NZ,1,ORD-00000791,2023-04-13,PAID,"#57 Queen St, Auckland",NZ,0,SKU-39068,Product-39068,305.26,4,ORDER_IMPORTED,Bulk CSV import
CUST-000877,First877,Last877,user877@example.com,+64278480638,1965-05-15,NZ,1,ORD-00000792,2023-10-24,PAID,"#86 Queen St, Auckland",NZ,0,SKU-01782,Product-1782,331.96,2,ORDER_IMPORTED,Bulk CSV import
CUST-000877,First877,Last877,user877@example.com,+64278480638,1965-05-15,NZ,1,ORD-00000792,2023-10-24,PAID,"#86 Queen St, Auckland",NZ,0,SKU-19267,Product-19267,430.18,4,ORDER_IMPORTED,Bulk CSV import
CUST-000877,First877,Last877,user877@example.com,+64278480638,1965-05-15,NZ,1,ORD-00000792,2023-10-24,PAID,"#86 Queen St, Auckland",NZ,0,SKU-07809,Product-7809,459.24,3,ORDER_IMPORTED,Bulk CSV import
CUST-000877,First877,Last877,user877@example.com,+64278480638,1965-05-15,NZ,1,ORD-00000793,2024-02-27,PAID,"#93 Queen St, Auckland",NZ,0,SKU-26488,Product-26488,176.06,2,ORDER_IMPORTED,Bulk CSV import
CUST-000877,First877,Last877,user877@example.com,+64278480638,1965-05-15,NZ,1,ORD-00000794,2024-09-12,PAID,"#19 Queen St, Auckland",NZ,0,SKU-26472,Product-26472,74.77,3,ORDER_IMPORTED,Bulk CSV import
CUST-000877,First877,Last877,user877@example.com,+64278480638,1965-05-15,NZ,1,ORD-00000794,2024-09-12,PAID,"#19 Queen St, Auckland",NZ,0,SKU-01950,Product-1950,130.99,3,ORDER_IMPORTED,Bulk CSV import
CUST-000877,First877,Last877,user877@example.com,+64278480638,1965-05-15,NZ,1,ORD-00000794,2024-09-12,PAID,"#19 Queen St, Auckland",NZ,0,SKU-16852,Product-16852,328.64,2,ORDER_IMPORTED,Bulk CSV import
CUST-000877,First877,Last877,user877@example.com,+64278480638,1965-05-15,NZ,1,ORD-00000794,2024-09-12,PAID,"#19 Queen St, Auckland",NZ,0,SKU-08042,Product-8042,20.13,2,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000795,2024-04-19,CREATED,"#117 Queen St, Auckland",NZ,0,SKU-28408,Product-28408,294.76,4,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000795,2024-04-19,CREATED,"#117 Queen St, Auckland",NZ,0,SKU-24191,Product-24191,167.63,4,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000795,2024-04-19,CREATED,"#117 Queen St, Auckland",NZ,0,SKU-39900,Product-39900,464.32,2,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000795,2024-04-19,CREATED,"#117 Queen St, Auckland",NZ,0,SKU-45983,Product-45983,33.91,1,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000795,2024-04-19,CREATED,"#117 Queen St, Auckland",NZ,0,SKU-05771,Product-5771,386.11,1,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000796,2023-05-06,CREATED,"#144 Queen St, Auckland",NZ,0,SKU-31024,Product-31024,290.72,1,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000796,2023-05-06,CREATED,"#144 Queen St, Auckland",NZ,0,SKU-03616,Product-3616,246.20,2,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000796,2023-05-06,CREATED,"#144 Queen St, Auckland",NZ,0,SKU-22167,Product-22167,477.19,4,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000796,2023-05-06,CREATED,"#144 Queen St, Auckland",NZ,0,SKU-44930,Product-44930,62.53,4,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000797,2025-12-26,CREATED,"#50 Queen St, Auckland",NZ,0,SKU-32286,Product-32286,184.13,1,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000797,2025-12-26,CREATED,"#50 Queen St, Auckland",NZ,0,SKU-22199,Product-22199,323.53,4,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000797,2025-12-26,CREATED,"#50 Queen St, Auckland",NZ,0,SKU-35880,Product-35880,142.90,1,ORDER_IMPORTED,Bulk CSV import
CUST-000379,First379,Last379,user379@example.com,+64293246284,1973-11-21,NZ,1,ORD-00000797,2025-12-26,CREATED,"#50 Queen St, Auckland",NZ,0,SKU-45242,Product-45242,285.03,4,ORDER_IMPORTED,Bulk CSV import
CUST-001209,First1209,Last1209,user1209@example.com,+64282381436,1969-05-29,NZ,1,ORD-00000798,2024-07-27,SHIPPED,"#160 Queen St, Auckland",NZ,0,SKU-24683,Product-24683,355.79,1,ORDER_IMPORTED,Bulk CSV import
CUST-001739,First1739,Last1739,user1739@example.com,+64268901062,1994-06-20,NZ,1,ORD-00000799,2025-08-03,CREATED,"#103 Queen St, Auckland",NZ,0,SKU-00358,Product-358,490.91,3,ORDER_IMPORTED,Bulk CSV import
CUST-001739,First1739,Last1739,user1739@example.com,+64268901062,1994-06-20,NZ,1,ORD-00000800,2023-01-22,PAID,"#131 Queen St, Auckland",NZ,0,SKU-09153,Product-9153,506.71,3,ORDER_IMPORTED,Bulk CSV import
CUST-001739,First1739,Last1739,user1739@example.com,+64268901062,1994-06-20,NZ,1,ORD-00000800,2023-01-22,PAID,"#131 Queen St, Auckland",NZ,0,SKU-17912,Product-17912,413.25,2,ORDER_IMPORTED,Bulk CSV import
CUST-001739,First1739,Last1739,user1739@example.com,+64268901062,1994-06-20,NZ,1,ORD-00000800,2023-01-22,PAID,"#131 Queen St, Auckland",NZ,0,SKU-27049,Product-27049,456.63,4,ORDER_IMPORTED,Bulk CSV import
CUST-001739,First1739,Last1739,user1739@example.com,+64268901062,1994-06-20,NZ,1,ORD-00000800,2023-01-22,PAID,"#131 Queen St, Auckland",NZ,0,SKU-10363,Product-10363,393.15,3,ORDER_IMPORTED,Bulk CSV import
